"","country","year","age","sex","suicides_no","population"
"108","Bahrain",2002,"75+ years","male",0,2755
"109","Bahrain",2003,"35-54 years","male",17,137287
"110","Bahrain",2003,"25-34 years","male",9,105799
"111","Bahrain",2003,"25-34 years","female",5,63380
"112","Bahrain",2003,"15-24 years","male",3,83143
"113","Bahrain",2003,"15-24 years","female",0,60298
"114","Bahrain",2003,"35-54 years","female",0,75430
"115","Bahrain",2003,"5-14 years","female",0,65298
"116","Bahrain",2003,"55-74 years","female",0,16343
"117","Bahrain",2003,"75+ years","female",0,2946
"118","Bahrain",2003,"5-14 years","male",0,70584
"119","Bahrain",2003,"55-74 years","male",0,19574
"120","Bahrain",2003,"75+ years","male",0,2831
"121","Bahrain",2004,"55-74 years","male",4,20717
"122","Bahrain",2004,"25-34 years","male",19,116777
"123","Bahrain",2004,"35-54 years","male",10,150835
"124","Bahrain",2004,"25-34 years","female",3,68052
"125","Bahrain",2004,"35-54 years","female",3,80288
"126","Bahrain",2004,"15-24 years","male",2,88431
"127","Bahrain",2004,"15-24 years","female",1,62699
"128","Bahrain",2004,"5-14 years","female",0,67313
"129","Bahrain",2004,"55-74 years","female",0,16975
"130","Bahrain",2004,"75+ years","female",0,3126
"131","Bahrain",2004,"5-14 years","male",0,73422
"132","Bahrain",2004,"75+ years","male",0,2924
"133","Bahrain",2005,"25-34 years","male",15,142375
"134","Bahrain",2005,"35-54 years","male",14,174785
"135","Bahrain",2005,"55-74 years","male",2,27261
"136","Bahrain",2005,"15-24 years","male",4,79928
"137","Bahrain",2005,"25-34 years","female",3,73758
"138","Bahrain",2005,"15-24 years","female",2,64792
"139","Bahrain",2005,"35-54 years","female",2,92102
"140","Bahrain",2005,"5-14 years","female",0,66362
"141","Bahrain",2005,"55-74 years","female",0,19983
"142","Bahrain",2005,"75+ years","female",0,4389
"143","Bahrain",2005,"5-14 years","male",0,69742
"144","Bahrain",2005,"75+ years","male",0,4063
"145","Bahrain",2006,"25-34 years","male",12,158656
"146","Bahrain",2006,"25-34 years","female",5,80271
"147","Bahrain",2006,"15-24 years","female",3,69020
"148","Bahrain",2006,"55-74 years","male",1,29960
"149","Bahrain",2006,"35-54 years","female",3,100668
"150","Bahrain",2006,"35-54 years","male",3,192597
"151","Bahrain",2006,"15-24 years","male",1,86090
"152","Bahrain",2006,"5-14 years","female",0,68590
"153","Bahrain",2006,"55-74 years","female",0,21363
"154","Bahrain",2006,"75+ years","female",0,4915
"155","Bahrain",2006,"5-14 years","male",0,71974
"156","Bahrain",2006,"75+ years","male",0,4439
"157","Bahrain",2007,"25-34 years","male",14,176938
"158","Bahrain",2007,"35-54 years","male",13,212426
"159","Bahrain",2007,"55-74 years","male",2,32965
"160","Bahrain",2007,"15-24 years","male",5,92875
"161","Bahrain",2007,"25-34 years","female",3,87472
"162","Bahrain",2007,"35-54 years","female",2,110173
"163","Bahrain",2007,"15-24 years","female",1,73617
"164","Bahrain",2007,"5-14 years","female",0,70861
"165","Bahrain",2007,"55-74 years","female",0,22872
"166","Bahrain",2007,"75+ years","female",0,5497
"167","Bahrain",2007,"5-14 years","male",0,74222
"168","Bahrain",2007,"75+ years","male",0,4852
"169","Bahrain",2008,"25-34 years","male",21,196832
"170","Bahrain",2008,"35-54 years","male",13,225866
"171","Bahrain",2008,"15-24 years","female",3,76246
"172","Bahrain",2008,"55-74 years","male",1,35879
"173","Bahrain",2008,"35-54 years","female",3,115468
"174","Bahrain",2008,"25-34 years","female",2,93449
"175","Bahrain",2008,"5-14 years","female",0,72955
"176","Bahrain",2008,"55-74 years","female",0,24495
"177","Bahrain",2008,"75+ years","female",0,5191
"178","Bahrain",2008,"15-24 years","male",0,96458
"179","Bahrain",2008,"5-14 years","male",0,76617
"180","Bahrain",2008,"75+ years","male",0,4654
"181","Bahrain",2009,"35-54 years","male",14,242558
"182","Bahrain",2009,"25-34 years","male",9,222448
"183","Bahrain",2009,"25-34 years","female",4,99580
"184","Bahrain",2009,"15-24 years","male",4,102256
"185","Bahrain",2009,"55-74 years","male",1,38002
"186","Bahrain",2009,"5-14 years","male",2,79180
"187","Bahrain",2009,"35-54 years","female",2,118835
"188","Bahrain",2009,"15-24 years","female",0,80832
"189","Bahrain",2009,"5-14 years","female",0,75122
"190","Bahrain",2009,"55-74 years","female",0,25915
"191","Bahrain",2009,"75+ years","female",0,4103
"192","Bahrain",2009,"75+ years","male",0,4091
"193","Bahrain",2010,"35-54 years","male",8,252232
"194","Bahrain",2010,"25-34 years","male",6,235591
"195","Bahrain",2010,"55-74 years","male",1,41999
"196","Bahrain",2010,"35-54 years","female",2,125709
"197","Bahrain",2010,"15-24 years","female",1,80571
"198","Bahrain",2010,"25-34 years","female",1,104368
"199","Bahrain",2010,"5-14 years","female",0,77140
"200","Bahrain",2010,"55-74 years","female",0,27834
"201","Bahrain",2010,"75+ years","female",0,4625
"202","Bahrain",2010,"15-24 years","male",0,103388
"203","Bahrain",2010,"5-14 years","male",0,81414
"204","Bahrain",2010,"75+ years","male",0,4289
"205","Bahrain",2011,"15-24 years","male",3,101695
"206","Bahrain",2011,"55-74 years","male",1,43883
"207","Bahrain",2011,"25-34 years","female",2,98138
"208","Bahrain",2011,"25-34 years","male",4,220691
"209","Bahrain",2011,"35-54 years","male",4,242955
"210","Bahrain",2011,"35-54 years","female",2,123582
"211","Bahrain",2011,"15-24 years","female",1,75788
"212","Bahrain",2011,"5-14 years","female",1,77270
"213","Bahrain",2011,"55-74 years","female",0,29140
"214","Bahrain",2011,"75+ years","female",0,4742
"215","Bahrain",2011,"5-14 years","male",0,81209
"216","Bahrain",2011,"75+ years","male",0,4369
"217","Bahrain",2012,"25-34 years","male",11,237133
"218","Bahrain",2012,"35-54 years","male",6,268027
"219","Bahrain",2012,"25-34 years","female",1,110796
"220","Bahrain",2012,"15-24 years","male",1,111603
"221","Bahrain",2012,"15-24 years","female",0,81091
"222","Bahrain",2012,"35-54 years","female",0,135976
"223","Bahrain",2012,"5-14 years","female",0,81275
"224","Bahrain",2012,"55-74 years","female",0,31641
"225","Bahrain",2012,"75+ years","female",0,4548
"226","Bahrain",2012,"5-14 years","male",0,85538
"227","Bahrain",2012,"55-74 years","male",0,50001
"228","Bahrain",2012,"75+ years","male",0,4149
"229","Bahrain",2013,"15-24 years","male",1,110064
"230","Bahrain",2013,"25-34 years","male",2,237632
"231","Bahrain",2013,"35-54 years","male",2,269162
"232","Bahrain",2013,"15-24 years","female",0,80476
"233","Bahrain",2013,"25-34 years","female",0,112513
"234","Bahrain",2013,"35-54 years","female",0,139352
"235","Bahrain",2013,"5-14 years","female",0,82726
"236","Bahrain",2013,"55-74 years","female",0,33780
"237","Bahrain",2013,"75+ years","female",0,4859
"238","Bahrain",2013,"5-14 years","male",0,86269
"239","Bahrain",2013,"55-74 years","male",0,53308
"240","Bahrain",2013,"75+ years","male",0,4351
"241","Bahrain",2014,"15-24 years","male",4,100635
"242","Bahrain",2014,"25-34 years","male",3,237952
"243","Bahrain",2014,"25-34 years","female",1,110838
"244","Bahrain",2014,"35-54 years","male",1,258922
"245","Bahrain",2014,"15-24 years","female",0,78926
"246","Bahrain",2014,"35-54 years","female",0,139103
"247","Bahrain",2014,"5-14 years","female",0,82452
"248","Bahrain",2014,"55-74 years","female",0,41406
"249","Bahrain",2014,"75+ years","female",0,6154
"250","Bahrain",2014,"5-14 years","male",0,86539
"251","Bahrain",2014,"55-74 years","male",0,64351
"252","Bahrain",2014,"75+ years","male",0,6688
"253","Lithuania",1995,"35-54 years","male",632,436306
"254","Lithuania",1995,"75+ years","male",67,47214
"255","Lithuania",1995,"55-74 years","male",325,274196
"256","Lithuania",1995,"25-34 years","male",226,284758
"257","Lithuania",1995,"15-24 years","male",134,263792
"258","Lithuania",1995,"75+ years","female",37,109609
"259","Lithuania",1995,"55-74 years","female",101,408926
"260","Lithuania",1995,"35-54 years","female",113,481445
"261","Lithuania",1995,"25-34 years","female",33,276055
"262","Lithuania",1995,"15-24 years","female",20,256623
"263","Lithuania",1995,"5-14 years","male",4,279260
"264","Lithuania",1995,"5-14 years","female",2,268965
"265","Lithuania",1996,"35-54 years","male",664,438770
"266","Lithuania",1996,"55-74 years","male",336,275843
"267","Lithuania",1996,"75+ years","male",40,47319
"268","Lithuania",1996,"25-34 years","male",196,278848
"269","Lithuania",1996,"15-24 years","male",147,257675
"270","Lithuania",1996,"75+ years","female",39,110913
"271","Lithuania",1996,"55-74 years","female",118,410808
"272","Lithuania",1996,"35-54 years","female",129,484132
"273","Lithuania",1996,"25-34 years","female",27,271013
"274","Lithuania",1996,"15-24 years","female",20,251718
"275","Lithuania",1996,"5-14 years","male",5,279323
"276","Lithuania",1996,"5-14 years","female",1,268801
"277","Lithuania",1997,"35-54 years","male",637,440546
"278","Lithuania",1997,"55-74 years","male",294,277983
"279","Lithuania",1997,"25-34 years","male",231,272292
"280","Lithuania",1997,"75+ years","male",39,47892
"281","Lithuania",1997,"15-24 years","male",144,252818
"282","Lithuania",1997,"75+ years","female",29,113485
"283","Lithuania",1997,"55-74 years","female",94,412839
"284","Lithuania",1997,"35-54 years","female",109,485204
"285","Lithuania",1997,"25-34 years","female",31,266372
"286","Lithuania",1997,"15-24 years","female",17,247246
"287","Lithuania",1997,"5-14 years","female",4,268373
"288","Lithuania",1997,"5-14 years","male",3,279223
"289","Lithuania",1998,"35-54 years","male",557,442825
"290","Lithuania",1998,"55-74 years","male",345,278617
"291","Lithuania",1998,"75+ years","male",47,49012
"292","Lithuania",1998,"25-34 years","male",222,265304
"293","Lithuania",1998,"15-24 years","male",112,250687
"294","Lithuania",1998,"75+ years","female",40,117165
"295","Lithuania",1998,"35-54 years","female",107,486222
"296","Lithuania",1998,"55-74 years","female",80,412652
"297","Lithuania",1998,"15-24 years","female",22,244923
"298","Lithuania",1998,"25-34 years","female",18,261722
"299","Lithuania",1998,"5-14 years","male",2,276408
"300","Lithuania",1998,"5-14 years","female",1,265436
"301","Lithuania",1999,"35-54 years","male",592,446764
"302","Lithuania",1999,"55-74 years","male",284,277228
"303","Lithuania",1999,"75+ years","male",48,50173
"304","Lithuania",1999,"25-34 years","male",224,257244
"305","Lithuania",1999,"15-24 years","male",129,251394
"306","Lithuania",1999,"75+ years","female",37,121573
"307","Lithuania",1999,"55-74 years","female",84,409039
"308","Lithuania",1999,"35-54 years","female",97,489403
"309","Lithuania",1999,"15-24 years","female",24,244706
"310","Lithuania",1999,"25-34 years","female",22,256587
"311","Lithuania",1999,"5-14 years","male",8,270111
"312","Lithuania",1999,"5-14 years","female",1,259230
"313","Lithuania",2000,"35-54 years","male",595,451103
"314","Lithuania",2000,"55-74 years","male",324,276055
"315","Lithuania",2000,"25-34 years","male",221,249865
"316","Lithuania",2000,"75+ years","male",40,50557
"317","Lithuania",2000,"15-24 years","male",131,252489
"318","Lithuania",2000,"75+ years","female",36,124608
"319","Lithuania",2000,"55-74 years","female",101,405061
"320","Lithuania",2000,"35-54 years","female",121,493992
"321","Lithuania",2000,"25-34 years","female",31,252324
"322","Lithuania",2000,"15-24 years","female",25,245035
"323","Lithuania",2000,"5-14 years","male",6,262637
"324","Lithuania",2000,"5-14 years","female",0,251399
"325","Lithuania",2001,"35-54 years","male",559,453841
"326","Lithuania",2001,"55-74 years","male",322,276422
"327","Lithuania",2001,"75+ years","male",57,51713
"328","Lithuania",2001,"25-34 years","male",190,243174
"329","Lithuania",2001,"15-24 years","male",119,253439
"330","Lithuania",2001,"75+ years","female",40,128791
"331","Lithuania",2001,"35-54 years","female",113,496684
"332","Lithuania",2001,"55-74 years","female",87,402028
"333","Lithuania",2001,"25-34 years","female",19,247712
"334","Lithuania",2001,"15-24 years","female",18,245848
"335","Lithuania",2001,"5-14 years","male",8,252622
"336","Lithuania",2001,"5-14 years","female",1,241864
"337","Lithuania",2002,"35-54 years","male",613,456468
"338","Lithuania",2002,"55-74 years","male",285,275961
"339","Lithuania",2002,"75+ years","male",47,54325
"340","Lithuania",2002,"25-34 years","male",204,237814
"341","Lithuania",2002,"15-24 years","male",156,255044
"342","Lithuania",2002,"75+ years","female",39,135785
"343","Lithuania",2002,"55-74 years","female",85,399066
"344","Lithuania",2002,"35-54 years","female",74,498421
"345","Lithuania",2002,"25-34 years","female",28,242244
"346","Lithuania",2002,"15-24 years","female",15,247514
"347","Lithuania",2002,"5-14 years","male",4,240849
"348","Lithuania",2002,"5-14 years","female",1,230997
"349","Lithuania",2003,"35-54 years","male",529,458658
"350","Lithuania",2003,"55-74 years","male",288,274066
"351","Lithuania",2003,"75+ years","male",53,57169
"352","Lithuania",2003,"25-34 years","male",205,233362
"353","Lithuania",2003,"15-24 years","male",122,255707
"354","Lithuania",2003,"75+ years","female",36,143383
"355","Lithuania",2003,"35-54 years","female",111,499080
"356","Lithuania",2003,"55-74 years","female",72,396850
"357","Lithuania",2003,"25-34 years","female",24,237053
"358","Lithuania",2003,"15-24 years","female",11,247710
"359","Lithuania",2003,"5-14 years","female",2,220424
"360","Lithuania",2003,"5-14 years","male",2,230665
"361","Lithuania",2004,"35-54 years","male",491,457735
"362","Lithuania",2004,"55-74 years","male",271,272871
"363","Lithuania",2004,"25-34 years","male",193,227897
"364","Lithuania",2004,"75+ years","male",48,60017
"365","Lithuania",2004,"15-24 years","male",115,254022
"366","Lithuania",2004,"75+ years","female",41,150000
"367","Lithuania",2004,"35-54 years","female",98,496461
"368","Lithuania",2004,"55-74 years","female",73,395331
"369","Lithuania",2004,"25-34 years","female",24,231241
"370","Lithuania",2004,"15-24 years","female",19,245226
"371","Lithuania",2004,"5-14 years","male",6,221380
"372","Lithuania",2004,"5-14 years","female",1,210788
"373","Lithuania",2005,"55-74 years","male",289,271641
"374","Lithuania",2005,"35-54 years","male",469,453800
"375","Lithuania",2005,"75+ years","male",52,62849
"376","Lithuania",2005,"25-34 years","male",172,221170
"377","Lithuania",2005,"15-24 years","male",100,249053
"378","Lithuania",2005,"75+ years","female",34,154994
"379","Lithuania",2005,"55-74 years","female",86,393282
"380","Lithuania",2005,"35-54 years","female",84,492082
"381","Lithuania",2005,"25-34 years","female",19,223982
"382","Lithuania",2005,"15-24 years","female",11,240386
"383","Lithuania",2005,"5-14 years","male",2,211022
"384","Lithuania",2005,"5-14 years","female",1,200467
"385","Lithuania",2006,"55-74 years","male",238,269578
"386","Lithuania",2006,"35-54 years","male",366,450132
"387","Lithuania",2006,"75+ years","male",51,65428
"388","Lithuania",2006,"25-34 years","male",96,214726
"389","Lithuania",2006,"15-24 years","male",97,244528
"390","Lithuania",2006,"75+ years","female",37,159540
"391","Lithuania",2006,"55-74 years","female",59,390589
"392","Lithuania",2006,"35-54 years","female",70,488597
"393","Lithuania",2006,"25-34 years","female",19,217069
